Catergory,Service Name ,Detailed Description ,Base Price ,Deliverables/Unit ,Special Notes/ Conditions 
NFC/QR Business Cards,Classic Business Card,NFC-enabled smart business card,"LKR 3,000",Any amount,Key Features
,,•Custom printed design (any color),,,NFC-enabled smart business cards
,,•Instantly share contact details with a tap,,,Instantly share contact details with a tap
,,•Works on Android & iPhone,,,Works on both Android & iPhone
,,•Lightweight and cost-effective,,,Custom printed design (any color available)
,Premium Business Card,Premium-quality card material,"LKR 5,000",Any amount,QR code backup for universal compatibility
,,•Embossed & varnished print finish,,,Durable and long-lasting materials
,,•Superior print clarity and texture,,,Professional networking enhancement
,,•NFC-enabled for instant information sharing,,,Real-time contact updates
,,•Elegant and professional appearance,,,Benefits
,Black Edition Business Card,Black metal NFC card,"LKR 8,000",Any amount,Never run out of business cards
,,"•Durable, long-lasting material",,,Always up-to-date contact information
,,•High-quality print on metal surface,,,Professional and modern impression
,,•Scratch-resistant and premium feel,,,Environmentally sustainable
,,•Makes a strong first impression,,,Cost-effective long-term solution
,Gold Edition Business Card,•Gold-plated metal NFC card,"LKR 10,000",Any amount,Makes a strong first impression
,,"•Premium, durable metal finish",,,Choose the edition that matches your brand
,,•Luxurious and prestigious look,,,Stand out from traditional paper cards
,,•High-quality detailing,,,
,,•Built to impress at high-level meetings and events,,,
NFC Tap Stands,Small Stand,,"LKR 3,500",Any amount,Key Features
,Medium Stand,,"LKR 4,000",Any amount,"Multiple size options (Small, Medium, Custom)"
,Custom Stand,,Quote on request,Any amount,QR menu integration for restaurants
,,,,,Customer review collection
,,,,,Social media integration
,,,,,Contactless experience
,,,,,Easy content management
,,,,,Durable weather-resistant design
,,,,,Custom branding options
,,,,,Benefits
,,,,,Increase customer engagement
,,,,,Reduce physical menu printing costs
,,,,,Collect valuable customer feedback
,,,,,Promote social media presence
,,,,,Provide contactless service
NFC Auto Tags,,,LKR 600,Any Amount ,Key Features
,,,,,Weather-resistant outdoor stickers
,,,,,Mobile advertising solution
,,,,,Instant business detail sharing
,,,,,Location-based marketing
,,,,,Professional vehicle branding
,,,,,Easy installation and removal
,,,,,Custom design options
,,,,,Trackable engagement metrics
,,,,,Benefits
,,,,,Turn every trip into marketing opportunity
,,,,,Professional mobile business presence
,,,,,Cost-effective advertising solution
,,,,,Easy to update business information
,,,,,Trackable customer interactions
NFC Access Devices & Smart Access Systems,NFC/RFID Key Cards – Tap to unlock solutions,,Quote on request,Any Amount,Key Features
,"NFC/RFID Tags – Durable, compact access credentials",,Quote on request,Any Amount,"NFC & RFID access keys, cards, tags, and wristbands"
,"NFC/RFID Wristbands – Wearable access for gyms, pools & co working spaces",,Quote on request,Any Amount,"Smart door, gate, cabinet, and locker access systems"
,"Smart Door Locks – Card based, keypad, and integrated access systems",,Quote on request,Any Amount,Fully integrated Hikvision powered access control solutions
,Locker Access Systems – Shared or individual compartments,,Quote on request,Any Amount,"Role based access (staff, admin, visitor, resident)"
,Hikvision Access Systems – Full hardware + software integration,,Quote on request,Any Amount,Time based & zone based access permissions
,Custom Access Solutions – Designed specifically for your facility’s layout & needs,,Quote on request,Any Amount,Lost credential deactivation & instant replacement
,,,,,Integration with existing access control infrastructure
,,,,,Secure & encrypted authentication with high reliability
,,,,,"Custom card design, branding & credential printing"
,,,,,"Scalable for small offices, apartments, gyms, schools & large facilities"
,,,,,"End to end installation, configuration & software setup"
,,,,,Benefits
,,,,,"Enhanced security for facilities, assets & staff"
,,,,,Eliminates physical keys and reduces lock replacement costs
,,,,,"Total control over who enters, where, and when"
,,,,,"Simple access management for employees, members & residents"
,,,,,Reduces unauthorized entry and operational risks
,,,,,Improves facility efficiency and visitor flow
,,,,,"Professional, modern, frictionless access experience"
,,,,,"Ideal for multi user environments: offices, residences, gyms, schools & retail"
Smart Digital Solutions,"Mobile Applications – iOS, Android, hybrid & cross platform",,Quote on request,Any Amount,Key Features
,"Web Applications – Workflow systems, customer portals, internal tools",,Quote on request,Any Amount,"Custom mobile applications (iOS, Android & cross platform)"
,"Corporate Websites – Modern, responsive, fast-loading designs",,Quote on request,Any Amount,Web platforms for workflow automation & customer systems
,"E commerce Websites – Product catalogs, payments, inventory systems",,Quote on request,Any Amount,"Corporate, dynamic & e commerce website development"
,Landing Pages – High conversion designs for campaigns,,Quote on request,Any Amount,UI/UX design and digital branding support
,"UI/UX Design – Wireframes, prototypes, branding & user journeys",,Quote on request,Any Amount,API integrations & backend system development
,API Development – Custom integrations with third party systems,,Quote on request,Any Amount,Scalable cloud ready architecture & modern frameworks
,"Backend Platforms – Secure databases, admin dashboards, automation",,Quote on request,Any Amount,"End to end support: design, development, deployment & hosting"
,"Ongoing Support – Maintenance, updates, optimization & hosting",,Quote on request,Any Amount,"Custom dashboards, analytics & content management systems"
,,,,,Benefits
,,,,,Streamlined business processes through digital automation
,,,,,Improved customer experience across mobile & web
,,,,,"Stronger online presence with modern, high performance sites"
,,,,,Fully customized platforms built around your exact workflows
,,,,,Reduced manual work and increased operational efficiency
,,,,,Scalable systems that grow with your business needs
,,,,,Professional digital identity that enhances brand credibility
,,,,,Faster access to insights through integrated dashboards & analytics
